"timestamp","total_users","active_users","inactive_users"
"1569452405",237,75,162
"1569538805",237,75,162
"1569625204",238,74,164
"1569711605",238,75,163
"1569798005",239,76,163
"1569884404",242,77,165
"1569970804",242,76,166
"1570057205",245,78,167
"1570143605",247,80,167
"1570230003",250,82,168
"1570316403",250,84,166
"1570402805",250,84,166
"1570489204",252,84,168
"1570575602",252,85,167
"1570662005",254,86,168
"1570748404",257,87,170
"1570834805",259,85,174
"1570921204",259,85,174
"1571007604",259,84,175
"1571094004",259,84,175
"1571180404",260,81,179
"1571266805",261,80,181
"1571353204",262,81,181
"1571439605",263,82,181
"1571526003",269,80,189
"1571612405",269,80,189
"1571669829",269,78,191
"1571698803",269,78,191
"1571785204",269,77,192
"1571871604",269,78,191
"1571958005",270,74,196
"1572044406",272,72,200
"1572130803",272,71,201
"1572220803",273,71,202
"1572307205",276,70,206
"1572393603",276,73,203
"1572480005",276,72,204
"1572566404",278,70,208
"1572652804",280,70,210
"1572739205",280,72,208
"1572825604",280,71,209
"1572912004",280,71,209
"1572998405",280,70,210
"1573084804",281,71,210
"1573171204",281,72,209
"1573257604",281,70,211
"1573344005",282,70,212
"1573430405",282,69,213
"1573516805",282,71,211
"1573603205",283,71,212
"1573689606",286,74,212
"1573776003",286,74,212
"1573862403",286,75,211
"1573948808",286,74,212
"1574035205",286,74,212
"1574121605",286,73,213
"1574208004",288,69,219
"1574294404",290,71,219
"1574380804",294,72,222
"1574467205",294,75,219
"1574553605",294,71,223
"1574640004",294,70,224
"1574726404",295,69,226
"1574812806",296,71,225
"1574899205",298,72,226
"1574985605",298,71,227
"1575072005",298,70,228
"1575158406",299,70,229
"1575244804",299,70,229
"1575331203",301,70,231
"1575417604",305,72,233
"1575504004",312,79,233
"1575590404",314,84,230
"1575676804",315,86,229
"1575763204",315,89,226
"1575849603",316,89,227
"1575936004",316,90,226
"1576108805",322,93,229
"1576195204",325,91,234
"1576281603",328,95,233
"1576368003",328,94,234
"1576454404",329,94,235
"1576540804",330,96,234
"1576627205",332,96,236
"1576713605",335,99,236
"1576800003",335,99,236
"1576886404",338,101,237
"1576972804",338,100,238
"1577059205",338,99,239
"1577145604",339,100,239
"1577232003",339,98,241
"1577318407",339,95,244
"1577404805",339,92,247
"1577491205",339,91,248
"1577577605",339,90,249
"1577664006",339,89,250
"1577750405",339,88,251
"1577836805",340,84,256
"1577923204",343,84,259
"1578009602",343,76,267
"1578096004",344,66,278
"1578182404",344,52,292
"1578268804",344,51,293
"1578355204",345,50,295
"1578441604",348,49,299
"1578528003",350,51,299
"1578614405",352,51,301
"1578700804",353,52,301
"1578787203",353,52,301
"1578873605",353,52,301
"1578960005",356,54,302
"1579046404",357,57,300
"1579132804",364,62,302
"1579219205",366,70,296
"1579305604",369,76,293
"1579392004",370,78,292
"1579478404",371,78,293
"1579564804",375,82,293
"1579651205",377,84,293
"1579737604",380,85,295
"1579824004",381,88,293
"1579910403",382,91,291
"1579996805",382,92,290
"1580083205",382,92,290
"1580169604",383,93,290
"1580256004",387,97,290
"1580342404",394,97,297
"1580428803",400,106,294
"1580515204",400,110,290
"1580601604",401,109,292
"1580688005",401,109,292
"1580774405",409,115,294
"1580860804",410,118,292
"1580947205",413,121,292
"1581033604",416,122,294
"1581120004",417,118,299
"1581206403",417,116,301
"1581292807",417,115,302
"1581379205",420,114,306
"1581465604",422,116,306
"1581552005",424,115,309
"1581638404",429,119,310
"1581724805",434,122,312
"1581811204",435,122,313
"1581897605",438,123,315
"1581984005",439,127,312
"1582070405",442,127,315
"1582156805",445,128,317
"1582243206",450,129,321
"1582329604",451,132,319
"1582416007",452,135,317
"1582502405",454,137,317
"1582588803",456,140,316
"1582675205",463,136,327
"1582761604",464,142,322
"1582848004",466,144,322
"1582934404",468,144,324
"1583020803",468,146,322
